loss,created_at,avg_val_loss,learning_rate,epoch
"tensor(4.4777, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:34.319116,,,
"tensor(4.9195, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:34.721980,,,
"tensor(4.6791, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:35.002032,,,
"tensor(5.0272, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:35.509155,,,
,2021-02-28 17:31:36.054959,4.671533584594727,0.0005,15.0
"tensor(4.5540, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:36.637805,,,
"tensor(4.6491, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:36.940745,,,
"tensor(4.4408, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:37.339553,,,
"tensor(4.6010, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:37.695865,,,
"tensor(4.7024, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:38.079899,,,
"tensor(4.4779, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:38.434204,,,
"tensor(4.4557, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:38.693645,,,
"tensor(5.5739, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:38.997326,,,
"tensor(4.5251, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:39.387909,,,
"tensor(4.4669, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:39.705849,,,
"tensor(4.9805, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:39.999402,,,
"tensor(4.8957, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:40.265696,,,
"tensor(4.4069, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:40.773180,,,
,2021-02-28 17:31:41.457274,4.671542167663574,0.0005,16.0
"tensor(4.3711, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:41.897036,,,
"tensor(4.9250, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:42.255754,,,
"tensor(4.4802, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:42.574627,,,
"tensor(4.5844, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:42.861546,,,
"tensor(4.6319, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:43.243678,,,
"tensor(4.3702, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:43.481176,,,
"tensor(4.5445, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:43.768888,,,
"tensor(5.0806, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:44.015495,,,
"tensor(4.4636, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:44.268075,,,
"tensor(4.8661, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:44.543682,,,
"tensor(4.8009, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:44.862504,,,
"tensor(5.0398, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:45.173383,,,
"tensor(4.5719, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:45.579524,,,
,2021-02-28 17:31:46.562131,4.671542644500732,0.0005,17.0
"tensor(4.4044, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:47.015783,,,
"tensor(4.5168, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:47.370383,,,
"tensor(4.3977, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:47.801450,,,
"tensor(4.3857, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:48.196087,,,
"tensor(4.4905, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:48.498791,,,
"tensor(4.7670, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:48.890816,,,
"tensor(4.9526, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:49.191787,,,
"tensor(4.9221, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:49.571917,,,
"tensor(4.8605, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:49.980430,,,
"tensor(4.4378, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:50.271947,,,
"tensor(4.7065, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:50.671363,,,
"tensor(5.1376, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:51.016061,,,
"tensor(4.7477, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:51.483446,,,
,2021-02-28 17:31:52.332465,4.671306133270264,0.0005,18.0
"tensor(4.8192, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:52.904902,,,
"tensor(4.5099, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:53.217282,,,
